City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Burmakino,RU,57.4166,40.2369,47.77,66,0,2.24,clear sky
215,Escanaba,US,45.7453,-87.0646,46.71,68,0,1.01,clear sky
216,Alofi,NU,-19.0595,-169.9187,77.07,78,38,18.3,light rain
217,Boende,CD,-0.2167,20.8667,78.55,75,100,2.26,overcast clouds
218,Pansemal,IN,21.65,74.7,80.98,77,81,3.47,broken clouds
219,Zhadovka,RU,53.5746,46.9498,56.41,64,100,6.89,overcast clouds
220,Luganville,VU,-15.5333,167.1667,76.48,87,58,4.9,broken clouds
221,Khatanga,RU,71.9667,102.5,2.82,98,81,3.11,broken clouds
222,Vao,NC,-22.6667,167.4833,72.23,70,100,22.03,overcast clouds
223,Norman Wells,CA,65.282,-126.8329,35.64,80,100,33.38,light snow
224,Kjopsvik,NO,68.097,16.3742,49.87,85,100,6.69,overcast clouds
225,Buraydah,SA,26.326,43.975,88.74,9,0,7.23,clear sky
226,Verkhnyaya Balkariya,RU,43.1279,43.4573,56.32,86,95,5.99,overcast clouds
227,Brae,GB,60.3964,-1.353,47.1,65,65,35.75,broken clouds
228,Progreso,MX,21.2833,-89.6667,83.1,80,98,15.14,overcast clouds
229,Japura,ID,-0.3167,102.35,73.0,89,99,2.37,overcast clouds
230,Fayaoue,NC,-20.65,166.5333,74.61,77,100,20.85,light rain
231,Tiksi,RU,71.6872,128.8694,12.9,89,78,13.69,broken clouds
232,Carutapera,BR,-1.195,-46.02,86.45,60,60,11.05,broken clouds
233,Goundam,ML,16.4145,-3.6708,103.32,12,2,12.15,clear sky
234,Leh,IN,34.1667,77.5833,48.76,33,82,5.84,broken clouds
235,Batemans Bay,AU,-35.7167,150.1833,52.11,85,61,3.6,broken clouds
236,Nizhniy Ingash,RU,56.2,96.53,41.86,85,76,10.49,broken clouds
237,Saint-Felicien,CA,48.6501,-72.4491,47.08,53,75,11.5,broken clouds
238,Cheyenne,US,41.14,-104.8203,60.24,33,0,11.5,clear sky
239,Hearst,CA,49.6835,-83.6665,43.05,59,69,9.95,broken clouds
240,Shubarshi,KZ,48.5872,57.1869,55.49,33,6,10.78,clear sky
241,Obihiro,JP,42.9172,143.2044,57.31,92,100,3.51,heavy intensity rain
242,Sungairaya,ID,0.7,108.9,78.08,83,100,1.34,moderate rain
243,Clyde River,CA,70.4692,-68.5914,19.63,79,20,16.11,few clouds
244,Yakeshi,CN,49.2833,120.7333,31.12,49,18,5.17,few clouds
245,Changji,CN,44.0167,87.3167,54.39,47,75,4.47,broken clouds
246,Kalmunai,LK,7.4167,81.8167,80.78,78,40,6.96,scattered clouds
247,Lesnoy,RU,57.6198,63.0784,52.72,65,89,12.91,overcast clouds
248,Itarema,BR,-2.9248,-39.9167,88.84,51,61,19.57,broken clouds
249,Qaanaaq,GL,77.484,-69.3632,9.5,62,2,8.23,clear sky
250,Berdigestyakh,RU,62.0989,126.6992,29.39,95,100,5.06,overcast clouds
251,Jiangyou,CN,31.7667,104.7167,55.9,70,79,0.4,broken clouds
252,Prince George,CA,53.9166,-122.753,58.62,66,40,12.66,scattered clouds
253,Yangliuqing,CN,39.1375,116.9997,46.35,28,0,6.11,clear sky
254,Broken Hill,AU,-31.95,141.4333,59.94,36,100,9.46,overcast clouds
255,Mandurah,AU,-32.55,115.7,52.59,72,19,12.86,few clouds
256,Quelimane,MZ,-17.8786,36.8883,82.35,69,20,17.27,few clouds
257,Itapirapua,BR,-15.8233,-50.6133,93.7,32,85,7.11,overcast clouds
258,Tazovskiy,RU,67.4667,78.7,39.51,92,100,3.62,overcast clouds
259,Cabedelo,BR,-6.9811,-34.8339,83.07,71,31,17.85,scattered clouds
260,Morehead,US,37.2711,-87.1764,64.99,57,0,1.01,clear sky
261,Phalaborwa,ZA,-23.943,31.1411,83.93,43,0,13.96,clear sky
262,Cravo Norte,CO,6.3017,-70.2041,85.03,65,94,5.99,overcast clouds
263,Tanuku,IN,16.75,81.7,79.16,94,100,6.22,overcast clouds
264,Dongsheng,CN,39.8161,109.9776,40.71,24,8,6.15,clear sky
265,Mastic Beach,US,40.7668,-72.8521,66.49,59,0,8.05,clear sky
266,Yar-Sale,RU,66.8333,70.8333,41.04,80,92,12.37,overcast clouds
267,Tabou,CI,4.423,-7.3528,80.62,77,59,8.55,light rain
268,Salalah,OM,17.0151,54.0924,80.69,74,20,5.75,few clouds
269,Celestun,MX,20.8667,-90.4,82.33,77,100,15.55,overcast clouds
270,Taree,AU,-31.9,152.4667,58.1,78,98,0.78,overcast clouds
271,Megion,RU,61.0296,76.1136,50.02,89,100,18.25,light rain
272,Cabo San Lucas,MX,22.8909,-109.9124,84.51,57,0,4.61,clear sky
273,Ponta Delgada,PT,37.7333,-25.6667,77.72,65,20,12.66,few clouds
274,Plerin,FR,48.5425,-2.7798,58.39,89,100,11.5,overcast clouds
275,Ormara,PK,25.2088,64.6357,82.44,48,3,2.98,clear sky
276,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,61,0,13.8,clear sky
277,Kavaratti,IN,10.5669,72.642,81.48,78,90,10.22,overcast clouds
278,Mumford,GH,5.2618,-0.759,80.35,75,41,10.74,scattered clouds
279,Glazov,RU,58.1394,52.6584,46.02,94,100,4.25,overcast clouds
280,Pochutla,MX,15.7432,-96.4661,84.02,67,98,1.1,overcast clouds
281,Taltal,CL,-25.4,-70.4833,61.65,64,0,7.29,clear sky
282,Constitucion,CL,-35.3333,-72.4167,58.91,55,0,6.04,clear sky
283,Poso,ID,-1.3959,120.7524,76.55,89,100,1.28,overcast clouds
284,Gamba,GA,-2.65,10.0,81.1,73,73,10.58,broken clouds
285,Diosti,RO,44.1167,24.1833,65.75,40,100,10.38,overcast clouds
286,Bowen,AU,-20.0167,148.2333,74.05,80,77,14.67,broken clouds
287,Kedainiai,LT,55.2883,23.9747,54.07,63,10,8.55,clear sky
